company_name,company_name_wics,stock_code,corp_code,fiscal_year,wics_large_code,wics_large,wics_index_code,wics_index_name,wics_date,revenue,revenue_prev,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,revenue_growth_yoy,operating_margin,roe,debt_ratio,current_ratio,ocf_to_revenue
광전자,광전자,017900,00152729,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,173773675132.0,,6916463299.0,10469916074.0,238961555432.0,28253535695.0,210708019737.0,121048234766.0,21816495317.0,-1308095781.0,-4415657491.0,-759588520.0,,0.03980155966515753,0.049689214900639586,0.13408856355000295,5.5484729791441785,-0.007527583104899859
그린리소스,그린리소스,402490,01370863,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
금호전기,금호전기,001210,00106395,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,41640597680.0,,-8559664657.0,-9883907411.0,83849543774.0,65486927043.0,18362616731.0,65174960579.0,63023538068.0,-11880359514.0,-26517656161.0,39288088130.0,,-0.20556056190113745,-0.5382624685682114,3.5663178076599586,1.0341368094675785,-0.285307132363908
기가레인,기가레인,049080,00377018,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,71623429312.0,,4099278921.0,3646955693.0,98823285998.0,36616070120.0,62207215878.0,56100850807.0,27796600171.0,10379401392.0,-6489149772.0,-12658084560.0,,0.057233770574473104,0.05862592693671363,0.5886145136572415,2.018263041590591,0.1449162863563279
기가비스,기가비스,420770,00765569,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
나노팀,나노팀,417010,01524118,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,,,,,,,,,,,,,,,,,,
나래나노텍,나래나노텍,137080,00362122,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,135152540052.0,,23123056534.0,17471980263.0,149521763255.0,86947906205.0,62573857050.0,60522998076.0,81822536418.0,23744587296.0,-10847284102.0,956530338.0,,0.17108858276065989,0.2792217243223302,1.3895244804155795,0.7396861638071348,0.17568731809897364
나무가,나무가,190510,00819374,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,502902887746.0,,22967486098.0,15989540360.0,173606438551.0,116479258912.0,57127179639.0,88512199522.0,115246393790.0,23869531636.0,-6380054360.0,-11782303895.0,,0.04566982345426526,0.27989374691769564,2.0389464287937837,0.7680257629864359,0.04746350084204672
나무기술,나무기술,242040,01136348,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,94465709977.0,,1077187761.0,-992119852.0,85919074026.0,44211158482.0,41707915544.0,62464593007.0,37390457494.0,3751531808.0,-3593208531.0,1021109458.0,,0.011402949930321466,-0.023787327634567534,1.0600184138993758,1.670602533200446,0.03971315950426248
나인테크,나인테크,267320,01208849,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,,,,,,,,,,,,,,,,,,
