company_name,stock_code,corp_code,fiscal_year,wics_large,wics_index_name,revenue,revenue_prev,revenue_growth_yoy,operating_income,operating_income_prev,operating_income_growth_yoy,operating_margin,net_income,net_income_prev,net_income_growth_yoy,roe,total_assets,total_liabilities,total_equity,debt_ratio,current_assets,current_liabilities,current_ratio,operating_cash_flow,investing_cash_flow,financing_cash_flow,ocf_to_revenue,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,data_provider
S&K폴리텍,091340,00580667,2025,IT,WICS 기술하드웨어와장비,310237496597.0,330069974679.0,-0.0600856775939329,15716717292.0,15224073120.0,0.032359551094956904,0.0506602762863835,11466747428.0,15721438581.0,-0.2706298874036863,0.081318211681729,254764600039.0,113753783509.0,141010816530.0,0.8067025374950504,173092424165.0,98885692701.0,1.7504294042655737,7423011738.0,-5911623748.0,-3972517706.0,0.0239268683490007,20260327,14949,2658156,6202972,wics_local_fallback
SFA반도체,036540,00301246,2025,IT,WICS 반도체와반도체장비,367389147993.0,400482861805.0,-0.0826345318819503,-19626671175.0,-31004226.0,632.0321284266216,-0.0534220220771843,-19130997781.0,20458863208.0,-1.9350958353110859,-0.0404608666370755,549454597885.0,76627410257.0,472827187628.0,0.1620621915618083,160514677227.0,43532905649.0,3.6872033886552025,5456325212.0,-13745283388.0,-64176857670.0,0.0148516232496447,20260327,485487,11083547,74007136,wics_local_fallback
SGA솔루션즈,184230,00988364,2025,IT,WICS 소프트웨어와서비스,61635674499.0,42923546759.0,0.43594085654342,14823977696.0,-4106882203.0,-4.609545383398473,0.2405097018325079,16993688445.0,-9938302906.0,-2.709918545020447,0.3207827878840931,151995348743.0,99019662120.0,52975686623.0,1.8691529724696287,39805610950.0,47723233948.0,0.8340929073116217,14095938677.0,-1634618676.0,-1834472216.0,0.2286977272752762,20260327,26563,365226,49373833,wics_local_fallback
SKAI,357880,01381984,2025,IT,WICS 소프트웨어와서비스,,,,-4391455139.0,-12065103096.0,-0.6360200900018899,,-15069950433.0,-24789096345.0,-0.39207342521625915,-1.1380703395160112,38472152332.0,25230483597.0,13241668735.0,1.905385499511214,26007033350.0,24452346763.0,1.0635802609078189,-3829677942.0,-20410924382.0,24497812369.0,,20260327,171896,365226,44189266,wics_local_fallback
SK아이이테크놀로지,361610,01386916,2025,IT,WICS 전자와 전기제품,261874278000.0,217864619000.0,0.2020046173720387,-246364302000.0,-290994179000.0,-0.15337034284799217,-0.9407731980458196,-211417928000.0,-246615236000.0,-0.14272154701747625,-0.0812694123390409,4391860994000.0,1790415728000.0,2601445266000.0,0.6882388614514098,586506133000.0,657440954000.0,0.8921046512718463,-33358864000.0,-114954436000.0,283223137000.0,-0.1273850347379287,20260327,743690,1554136,34350582,wics_local_fallback
SK하이닉스,000660,00164779,2025,IT,WICS 반도체와반도체장비,97146675000000.0,66192960000000.0,0.4676285061130368,47206319000000.0,23467319000000.0,1.0115769935202228,0.4859283037736495,42947902000000.0,19796902000000.0,1.169425397973885,0.3559215910271753,176107659000000.0,55440908000000.0,120666751000000.0,0.4594547175634156,69458073000000.0,37378999000000.0,1.8582111575540048,53373126000000.0,-48054251000000.0,-1444992000000.0,0.5494076457068654,20260327,486262570,11083547,527399750,wics_local_fallback
TJ미디어,032540,00201733,2025,IT,WICS 전자와 전기제품,94434815353.0,91871741553.0,0.0278983913516147,3288098329.0,4664208620.0,-0.29503617936369236,0.0348187087220851,3987130396.0,4645604047.0,-0.1417412341512884,0.0475843439041836,127346225905.0,43555422694.0,83790803211.0,0.51981149511504,52365313266.0,32940129787.0,1.589711807591792,3812591860.0,-833024510.0,-6109404924.0,0.0403727358998736,20260327,34318,1554136,8776913,wics_local_fallback
가비아,079940,00506294,2025,IT,WICS 소프트웨어와서비스,335681176239.0,282417869366.0,0.1885975097559188,40485754868.0,35109842052.0,0.15311697523554554,0.1206077603802685,31119340648.0,28592627980.0,0.08836937513289746,0.0832938545010951,627658835726.0,254049752146.0,373609083580.0,0.6799881569035806,161189873112.0,122257062056.0,1.3184504060646147,71756908745.0,-58264277090.0,-25818916568.0,0.2137650658549592,20260327,259449,365226,9662892,wics_local_fallback
가온그룹,078890,00441304,2025,IT,WICS 전자와 전기제품,517549509670.0,489342386438.0,0.0576429183609539,12525753701.0,-41889972825.0,-1.299015560438001,0.0242020395478428,5805294229.0,-56081780766.0,-1.1035147983838542,0.0473687592376517,400370260910.0,277814924388.0,122555336522.0,2.2668529357604044,312123428378.0,248850796185.0,1.2542593118567402,2181772452.0,-12974399054.0,-32173056406.0,0.0042155821061276,20260327,87456,1554136,14924203,wics_local_fallback
가온칩스,399720,01364747,2025,IT,WICS 반도체와반도체장비,68510181008.0,96492001688.0,-0.2899910893182341,-16721496228.0,3524912928.0,-5.743804051207475,-0.2440731579157178,-14369143365.0,7530549168.0,-2.908113610898344,-0.2627468862483878,159310899656.0,104622741139.0,54688158517.0,1.9130785160095976,111616757869.0,95849707803.0,1.1644976330904009,-848730459.0,2014178330.0,33693380698.0,-0.012388384419841,20260327,378638,11083547,5916214,wics_local_fallback
