stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
046440,KG모빌리언스,00405278,20260327,84755,365226,17104860,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
003620,KG모빌리티,00138242,20260327,285430,1375712,82973713,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
016380,KG스틸,00115676,20260327,221540,1649949,39003469,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
151860,KG에코솔루션,00366137,20260327,116132,1375712,18089140,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
035600,KG이니시스,00264547,20260327,153258,365226,14879394,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
001390,KG케미칼,00101220,20260327,176581,1375712,32944184,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
060720,KH바텍,00378628,20260327,230647,2658156,16810983,G4520,WICS 기술하드웨어와장비,G45,IT,KOSPI,wics_local_fallback
001940,KISCO홀딩스,00159740,20260327,112277,1649949,4252914,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
058400,KNN,00208134,20260327,58640,945391,79457832,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
025000,KPX케미칼,00191472,20260327,73694,1649949,1488761,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
092230,KPX홀딩스,00587466,20260327,65740,1649949,802682,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
000040,KR모터스,00112378,20260327,12720,1375712,31958818,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
044450,KSS해운,00160232,20260327,133321,308947,12697234,G2030,WICS 운송,G20,산업재,KOSPI,wics_local_fallback
101000,KS인더스트리,00618410,20260327,38659,6776021,36470592,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
030200,KT,00190321,20260327,8580834,149932,141132143,G5010,WICS 전기통신서비스,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
033780,KT&G,00244455,20260327,13407993,236528,84860717,G3020,"WICS 식품,음료,담배",G30,필수소비재,KOSPI,wics_local_fallback
058850,KTcs,00372882,20260327,64245,30375,24757300,G2020,WICS 상업서비스와공급품,G20,산업재,KOSPI,wics_local_fallback
058860,KTis,00372873,20260327,58212,30375,20533180,G2020,WICS 상업서비스와공급품,G20,산업재,KOSPI,wics_local_fallback
089600,KT나스미디어,00486097,20260327,74632,945391,6362489,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
418470,KT밀리의서재,01467451,20260327,67974,945391,5053815,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
043610,KT지니뮤직,00223762,20260327,62242,945391,36612725,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
122450,KX,00657987,20260327,54642,6776021,16583338,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
052900,KX하이텍,00276834,20260327,52253,11083547,45162800,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
036560,KZ정밀,00141389,20260327,68985,6776021,4725000,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
061970,LB세미콘,00412348,20260327,187980,11083547,41819764,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
